Obiekt,Wysokość,Umaszczenie,Masa ciała,Płeć,Rodzaj włosa,Rasa
x1,60,czekoladowe,40,pies,krótki,labrador retriver
x2,55,czarne,20,pies,krótki,amstaff
x3,25,popielate,10,suka,szorstki,terier
x4,55,żółte,30,suka,długi,labrador retriver
x5,25,białe,5,pies,długi,shih tzu
x6,60,brązowe,40,pies,krótki,owczarek niemiecki
x7,25,popielate,5,pies,szorstki,terier
x8,55,czarne,30,suka,długi,owczarek niemiecki
x9,50,białe,20,suka,gładki,amstaff
x10,25,białe,5,pies,długi,shih tzu
x11,25,białe,5,suka,krótki,shih tzu
x12,30,czarne,10,pies,szorstki,terier
x13,60,czekoladowe,40,pies,krótki,labrador retriver
x14,50,brązowe,20,suka,gładki,owczarek niemiecki
x15,50,brązowe,20,suka,gładki,amstaff
