Obiekt,Wysokość,Umaszczenie,Masaciała,Płeć,Rodzajwłosa,Pochodzenie,Wiek,Posłuszeństwo,Rasa
x1,60,czekoladowe,40,pies,krótki,W.Brytania,2,wysokie,labradorretriver
x2,55,czarne,20,pies,krótki,USA,1,niskie,amstaff
x3,25,popielate,10,suka,szorstki,W.Brytania,3,średnie,terier
x4,55,żółte,30,suka,długi,W.Brytania,1,wysokie,labradorretriver
x5,25,białe,5,pies,długi,Tybet,1,wysokie,shihtzu
x6,60,brązowe,40,pies,krótki,Niemcy,2,średnie,owczarekniemiecki
x7,25,popielate,5,pies,szorstki,W.Brytania,1,niskie,terier
x8,55,czarne,30,suka,długi,Niemcy,2,wysokie,owczarekniemiecki
x9,50,białe,20,suka,gładki,USA,2,niskie,amstaff
x10,25,białe,5,pies,długi,Tybet,3,wysokie,shihtzu
x11,25,białe,5,suka,krótki,Tybet,1,średnie,shihtzu
x12,30,czarne,10,pies,szorstki,W.Brytania,2,wysokie,terier
x13,60,czekoladowe,40,pies,krótki,W.Brytania,3,średnie,labradorretriver
x14,50,brązowe,20,suka,gładki,Niemcy,1,średnie,owczarekniemiecki
x15,50,brązowe,20,suka,gładki,USA,2,niskie,amstaff
